Name,X position,Y position,Rotation,Comment,Package
C1,-63.87,19.03,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,-25.48,40.71,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,12.12,-11.73,0,CPH3225A,CAPCP3225X100N
C1_BAT,-65.86,-38.37,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,-60.39,-29.93,180,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,58.75,-25.13,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,-65.59,19.03,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,-73.55,-40.77,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,59.83,-28.65,0,100uF,RCL_CT3528
C4,13.84,-32.49,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,68.55,-6.75,90,100nF,EAGLE-LTSPICE_C0402
C5,-39.83,41.31,270,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,70.36,-6.75,90,4.7uF,EAGLE-LTSPICE_C0402
C6,-65.11,41.03,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,8.97,-10.99,270,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,11.56,-9.39,180,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,-75.76,-29.29,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,-21.45,41.45,180,CHANGE_BUTTON,MYBUTTON
CHG_LED,-63.02,-36.2,0,,ADAFRUIT_CHIP-LED0603
C_DELAY,-31.06,31.87,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,69.72,-10.43,0,USBLC6-2SC6Y,SOT95P280X145-6N
D10,-71.75,-25.66,90,PGB1010603MR,DIOC1608X36N
D11,-67.98,-25.64,270,PGB1010603MR,DIOC1608X36N
D12,-76.07,1.25,270,PGB1010603MR,DIOC1608X36N
D2,-60.35,-31.74,180,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,6.24,-33.15,0,MBR0530,SOD3716X135N
D4,6.18,-28.85,0,MBR0530,SOD3716X135N
D5,-3.08,-24.85,0,MBR0530,SOD3716X135N
D6,-62.98,-25.63,90,PGB1010603MR,DIOC1608X36N
D7,11.5,-6.34,180,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,-75.38,-25.65,90,PGB1010603MR,DIOC1608X36N
D9,-58.64,-25.65,90,PGB1010603MR,DIOC1608X36N
EPD_C1,10.67,-47.95,89.9,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,-21.21,-47.53,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,-24.22,-47.5,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,-27.37,-47.43,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,8.08,-47.95,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
